category,subcategory,text,guid,ha,severity,link,graph,cost,simple,security,scale,description
Network Topology and Connectivity,IPAM,"If using private-IP LoadBalancer services, use a dedicated subnet (not the AKS subnet)",13c00567-4b1e-4945-a459-c373e7ed6162,,Low,https://docs.microsoft.com/azure/aks/internal-lb,,,-1.0,1.0,,"For internal apps organizations often open the whole AKS subnet in their firewalls. This opens network access to the nodes too, and potentially to the pods as well (if using Azure CNI). If LoadBalancer IPs are in a different subnet, only this one needs to be available to the app clients. Another reason is that if the IP addresses in the AKS subnet are a scarce resource, consuming its IP addresses for services will reduce the maximum scalability of the cluster ."
Network Topology and Connectivity,IPAM,Size the service IP address range accordingly (it is going to limit the cluster scalability),43f63047-22d9-429c-8b1c-d622f54b29ba,,High,https://docs.microsoft.com/azure/aks/configure-azure-cni,,,,,1.0,
Network Topology and Connectivity,Security,Filter egress traffic with AzFW/NVA if your security requirements mandate it,3b365a91-7ecb-4e48-bbe5-4cd7df2e8bba,,High,https://docs.microsoft.com/azure/aks/limit-egress-traffic,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (properties.networkProfile.outboundType=='userDefinedRouting') | distinct id,compliant",,-2.0,2.0,,
Network Topology and Connectivity,Security,"If using a public API endpoint, restrict the IP addresses that can access it",c4581559-bb91-463e-a908-aed8c44ce3b2,,Medium,https://docs.microsoft.com/azure/aks/api-server-authorized-ip-ranges,"where type=='microsoft.containerservice/managedclusters' | extend compliant = ((isnull(properties.apiServerAccessProfile.enablePrivateCluster) or properties.apiServerAccessProfile.enablePrivateCluster==false) and isnotnull(properties.apiServerAccessProfile.authorizedIPRanges)) | distinct id,compliant",,-1.0,1.0,,
Network Topology and Connectivity,Scalability,Use an ingress controller to expose web-based apps instead of exposing them with LoadBalancer-type services,b3808b9f-a1cf-4204-ad01-3a923ce474db,,Medium,https://docs.microsoft.com/azure/aks/concepts-network,,,-1.0,,1.0,
Network Topology and Connectivity,Scalability,Use Azue NAT Gateway as outboundType for scaling egress traffic,b3808b9f-a1cf-4204-ad01-3a923ce474db,,Low,https://learn.microsoft.com/azure/aks/nat-gateway,,,-1.0,,1.0,
Network Topology and Connectivity,Scalability,Use Dynamic allocations of IPs in order to avoid Azure CNI IP exhaustion,b3808b9f-a1cf-4204-ad01-3a923ce474db,,Medium,https://learn.microsoft.com/azure/aks/configure-azure-cni#dynamic-allocation-of-ips-and-enhanced-subnet-support,,,-1.0,,1.0,
Network Topology and Connectivity,Best practices,"If using AGIC, do not share an AppGW across clusters",cbd8ac2a-aebc-4a2a-94da-1dbf3dc99248,,Medium,https://azure.github.io/application-gateway-kubernetes-ingress/setup/install-existing/,,,-1.0,1.0,,
Network Topology and Connectivity,Cost,Use Private Endpoints (preferred) or Virtual Network Service Endpoints to access PaaS services from the cluster,c3c39c98-6bb2-4c12-859a-114b5e3df584,,Medium,https://docs.microsoft.com/azure/private-link/private-link-overview,,,-1.0,1.0,,
Network Topology and Connectivity,Security,Use private clusters if your requirements mandate it,ecccd979-3b6b-4cda-9b50-eb2eb03dda6d,,High,https://docs.microsoft.com/azure/aks/private-clusters,"where type=='microsoft.containerservice/managedclusters' | where isnotnull(properties.apiServerAccessProfile.enablePrivateCluster) | extend compliant = (properties.apiServerAccessProfile.enablePrivateCluster==true) | distinct id, compliant",,-1.0,1.0,,
Network Topology and Connectivity,Security,For Windows 2019 and 2022 AKS nodes Calico Network Policies can be used ,ecccd979-3b6b-4cda-9b50-eb2eb03dda6d,,Medium,https://learn.microsoft.com/azure/aks/use-network-policies,"where type=='microsoft.containerservice/managedclusters' | where isnotnull(properties.apiServerAccessProfile.enablePrivateCluster) | extend compliant = (properties.apiServerAccessProfile.enablePrivateCluster==true) | distinct id, compliant",,-1.0,1.0,,
Network Topology and Connectivity,Security,Enable a Kubernetes Network Policy option (Calico/Azure),58d7c892-ddb1-407d-9769-ae669ca48e4a,,High,https://docs.microsoft.com/azure/aks/use-network-policies,"where type=='microsoft.containerservice/managedclusters' | extend compliant = isnotnull(properties.networkProfile.networkPolicy) | distinct id,compliant",,,1.0,,
Network Topology and Connectivity,Security,Use Kubernetes network policies to increase intra-cluster security,85e2223e-ce8b-4b12-907c-a5f16f158e3e,,High,https://docs.microsoft.com/azure/aks/operator-best-practices-network,,,-1.0,1.0,,
Network Topology and Connectivity,Security,Use a WAF for web workloads (UIs or APIs),a3a92c2d-e7e2-4165-a3a8-7af4a7a1f893,,High,https://docs.microsoft.com/azure/aks/operator-best-practices-network,,-1.0,-1.0,2.0,,
Network Topology and Connectivity,Security,Use DDoS Standard in the AKS Virtual Network,9bda4776-8f24-4c11-9775-c2ea55b46a94,,Medium,https://docs.microsoft.com/azure/virtual-network/ddos-protection-overview,"Resources | where type=~'microsoft.containerservice/managedclusters' | project resourceGroup,name,pools=properties.agentPoolProfiles | mv-expand pools | project subnetId=tostring(pools.vnetSubnetID) | where isnotempty(subnetId) | join (Resources | where type=='microsoft.network/virtualnetworks' | project id,resourceGroup,name,enableDdosProtection=tostring(properties.enableDdosProtection),subnets=properties.subnets | mv-expand subnets | project id,resourceGroup,name,enableDdosProtection,subnetId=tostring(subnets.id)) on subnetId | distinct id,resourceGroup,name,enableDdosProtection | extend compliant = (enableDdosProtection == 'true')",-2.0,,2.0,,
Network Topology and Connectivity,Security,If required add company HTTP Proxy,9bda4776-8f24-4c11-9775-c2ea55b46a94,,Low,https://learn.microsoft.com/azure/aks/http-proxy,"Resources | where type=~'microsoft.containerservice/managedclusters' | project resourceGroup,name,pools=properties.agentPoolProfiles | mv-expand pools | project subnetId=tostring(pools.vnetSubnetID) | where isnotempty(subnetId) | join (Resources | where type=='microsoft.network/virtualnetworks' | project id,resourceGroup,name,enableDdosProtection=tostring(properties.enableDdosProtection),subnets=properties.subnets | mv-expand subnets | project id,resourceGroup,name,enableDdosProtection,subnetId=tostring(subnets.id)) on subnetId | distinct id,resourceGroup,name,enableDdosProtection | extend compliant = (enableDdosProtection == 'true')",-2.0,,2.0,,
Network Topology and Connectivity,Best practices,Do not use AKS Application Routing Add-On,8008ae7d-7e4b-4475-a6c8-bdbf59bce65d,,High,https://docs.microsoft.com/azure/aks/http-application-routing,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnull(properties.addonProfiles.httpApplicationRouting) or properties.addonProfiles.httpApplicationRouting.enabled==false) | distinct id,compliant",,-1.0,,1.0,
Network Topology and Connectivity,Best practices,For Windows workloads use Accelerated Networking,8008ae7d-7e4b-4475-a6c8-bdbf59bce65d,,Medium,https://learn.microsoft.com/azure/virtual-network/accelerated-networking-overview,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnull(properties.addonProfiles.httpApplicationRouting) or properties.addonProfiles.httpApplicationRouting.enabled==false) | distinct id,compliant",,-1.0,,1.0,
Network Topology and Connectivity,Best practices,Use the standard ALB (as opposed to the basic one),ba7da7be-9952-4914-a384-5d997cb39132,,High,https://docs.microsoft.com/azure/aks/load-balancer-standard,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (tolower(properties.networkProfile.loadBalancerSku)=='standard') | distinct id,compliant",,,,1.0,
Network Topology and Connectivity,HA,"If hybrid connectivity is required, use 2xER or ER+VPN for better availability",e8a03f97-8794-468d-96a7-86d60f96c97b,1.0,Medium,https://docs.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering,,-1.0,,,,
Network Topology and Connectivity,Security,Consider using a service mesh for advanced microservice communication management,e9855d04-c3c3-49c9-a6bb-2c12159a114b,,Medium,https://docs.microsoft.com/azure/aks/servicemesh-about,,,-2.0,1.0,,
Network Topology and Connectivity,Operations,If required add your own CNI plugin,e9855d04-c3c3-49c9-a6bb-2c12159a114b,,Low,https://learn.microsoft.com/azure/aks/use-byo-cni,,,-2.0,1.0,,
Network Topology and Connectivity,Operations,If required configure Public IP per node in AKS,e9855d04-c3c3-49c9-a6bb-2c12159a114b,,Low,https://learn.microsoft.com/azure/aks/use-multiple-node-pools#assign-a-public-ip-per-node-for-your-node-pools,,,-2.0,1.0,,
Network Topology and Connectivity,Best practices,"If using Azure CNI, consider using different Subnets for NodePools",e9855d04-c3c3-49c9-a6bb-2c12159a114b,,Medium,https://learn.microsoft.com/azure/aks/use-multiple-node-pools#add-a-node-pool-with-a-unique-subnet,,,-2.0,1.0,,
Governance and Security,Secrets,Store your secrets in Azure Key Vault with the CSI Secrets Store driver,5e3df584-eccc-4d97-a3b6-bcda3b50eb2e,,Medium,https://github.com/Azure/secrets-store-csi-driver-provider-azure,,,-1.0,1.0,,
Governance and Security,Secrets,"If user Service Principals for the cluster, refresh credentials periodically (like quarterly)",b03dda6d-58d7-4c89-8ddb-107d5769ae66,,High,https://docs.microsoft.com/azure/aks/update-credentials,,,,1.0,,
Governance and Security,Compliance,Use Azure Policy for Kubernetes to ensure cluster compliance,9ca48e4a-85e2-4223-bce8-bb12307ca5f1,,Medium,https://docs.microsoft.com/azure/governance/policy/concepts/policy-for-kubernetes,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.addonProfiles.azurepolicy) and properties.addonProfiles.azurepolicy.enabled==true) | distinct id,compliant",,-1.0,1.0,,
Governance and Security,Compliance,Separate applications from the control plane with user/system nodepools,6f158e3e-a3a9-42c2-be7e-2165c3a87af4,,Medium,https://docs.microsoft.com/azure/aks/use-system-pools,"where type=='microsoft.containerservice/managedclusters' | project id,resourceGroup,name,pools=properties.agentPoolProfiles | project id,name,resourceGroup,poolcount=array_length(pools) | extend compliant = (poolcount > 1)",-1.0,-1.0,1.0,,
Governance and Security,Compliance,Add taint to your system nodepool to make it dedicated,a7a1f893-9bda-4477-98f2-4c116775c2ea,1.0,Low,https://docs.microsoft.com/azure/aks/use-system-pools,,,-1.0,,,
Governance and Security,Compliance,"Use a private registry for your images, such as ACR",55b46a94-8008-4ae7-b7e4-b475b6c8bdbf,,Medium,https://docs.microsoft.com/azure/container-registry/,,,-1.0,1.0,,
Governance and Security,Compliance,Scan your images for vulnerabilities,59bce65d-e8a0-43f9-9879-468d66a786d6,,Medium,https://docs.microsoft.com/azure/security-center/container-security,,-1.0,,1.0,,
Governance and Security,Compliance,Use Azure Security Center to detect security posture vulnerabiities,cc639637-a652-42ac-89e8-06965388e9de,,Medium,https://docs.microsoft.com/azure/security-center/container-security,,-1.0,,1.0,,
Governance and Security,Compliance,If required configure FIPS,cc639637-a652-42ac-89e8-06965388e9de,,Low,https://learn.microsoft.com/azure/aks/use-multiple-node-pools#add-a-fips-enabled-node-pool,,-1.0,,1.0,,
Governance and Security,Secrets,If required add Key Management Service etcd encryption,cc639637-a652-42ac-89e8-06965388e9de,,Medium,https://learn.microsoft.com/azure/aks/use-kms-etcd-encryption,,-1.0,,1.0,,
Governance and Security,Secrets,If required consider using Confidential Compute for AKS,cc639637-a652-42ac-89e8-06965388e9de,,Low,https://learn.microsoft.com/azure/confidential-computing/confidential-nodes-aks-overview,,-1.0,,1.0,,
Governance and Security,Secrets,Consider using Defender for Containers,cc639637-a652-42ac-89e8-06965388e9de,,Medium,https://learn.microsoft.com/azure/defender-for-cloud/defender-for-containers-enable,,-1.0,,1.0,,
Governance and Security,Compliance,Define app separation requirements (namespace/nodepool/cluster),d167dd18-2b0a-4c24-8b99-9a646f8389a7,,High,https://docs.microsoft.com/azure/aks/operator-best-practices-cluster-isolation,,,,1.0,,
Cost Governance,Cost,Use an external application such as kubecost to allocate custs to different users,f82cb8eb-8c0a-4a63-a25a-4956eaa8dc4a,,Low,https://docs.microsoft.com/azure/cloud-adoption-framework/scenarios/aks/eslz-cost-governance-with-kubecost,,1.0,,,,
Cost Governance,Cost,If required scale NodePool snapshots,f82cb8eb-8c0a-4a63-a25a-4956eaa8dc4a,,Low,https://learn.microsoft.com/azure/aks/node-pool-snapshot,,1.0,,,,
Cost Governance,Cost,Use scale down mode to delete/delallocate nodes,f82cb8eb-8c0a-4a63-a25a-4956eaa8dc4a,,Low,https://learn.microsoft.com/azure/aks/scale-down-mode,,1.0,,,,
Cost Governance,Cost,When required use multi-instance partioning GPU on AKS Clusters,f82cb8eb-8c0a-4a63-a25a-4956eaa8dc4a,,Medium,https://learn.microsoft.com/azure/aks/gpu-multi-instance,,1.0,,,,
Cost Governance,Cost,If running a Dev/Test cluster use NodePool Start/Stop,f82cb8eb-8c0a-4a63-a25a-4956eaa8dc4a,,Low,https://learn.microsoft.com/azure/aks/start-stop-nodepools,,1.0,,,,
Operations,Storage,Use ephemeral OS disks,24367b33-6971-45b1-952b-eee0b9b588de,,High,https://docs.microsoft.com/azure/aks/cluster-configuration,"where type=='microsoft.containerservice/managedclusters' | project id,resourceGroup,name,pools=properties.agentPoolProfiles | mvexpand pools | extend compliant = (pools.osDiskType=='Ephemeral') | project id,name=strcat(name,'-',pools.name), resourceGroup, compliant",-1.0,,,1.0,
Operations,Storage,"For non-ephemeral disks, use high IOPS and larger OS disks for the nodes when running many pods/node since it require high performance for running multiple pods and will generate huge logs with default AKS log rotation thresholds",fc4972cc-3cd2-45bf-a707-6e9eab4bed32,,High,https://docs.microsoft.com/azure/virtual-machines/disks-types,,-1.0,,,1.0,
Operations,Storage,For hyper performance storage option use Ultra Disks on AKS,fc4972cc-3cd2-45bf-a707-6e9eab4bed32,,Low,https://learn.microsoft.com/azure/aks/use-ultra-disks,,-1.0,,,1.0,
Operations,Storage,"Avoid keeping state in the cluster, and store data outside (AzStorage, AzSQL, Cosmos, etc)",9f7547c1-747d-4c56-868a-714435bd19dd,1.0,Medium,https://docs.microsoft.com/azure/aks/operator-best-practices-multi-region,,,-1.0,,,
Operations,Storage,"If using AzFiles Standard, consider AzFiles Premium and/or ANF for performance reasons",24429eb7-2281-4376-85cc-57b4a4b18142,,Medium,https://docs.microsoft.com/azure/aks/operator-best-practices-storage,,-1.0,,,1.0,
Operations,Storage,"If using Azure Disks and AZs, consider having nodepools within a zone for LRS disk with VolumeBindingMode:WaitForFirstConsumer for provisioning storage in right zone or use ZRS disk for nodepools spanning multiple zones",83958a8c-2689-4b32-ab57-cfc64546135a,1.0,Medium,https://docs.microsoft.com/azure/aks/availability-zones#azure-disk-availability-zone-support,,,-1.0,,,
Operations,Compliance,Check regularly Azure Advisor for recommendations on your cluster,337453a3-cc63-4963-9a65-22ac19e80696,1.0,Low,https://docs.microsoft.com/azure/advisor/advisor-get-started,,,-1.0,,,
Operations,Compliance,Develop your YAML manifests with intelligent text editors such as vscode+kubeadvisor,5388e9de-d167-4dd1-a2b0-ac241b999a64,,Low,https://docs.microsoft.com/azure/aks/operator-best-practices-scheduler,,,1.0,,,
Operations,Compliance,Enable AKS auto-certificate rotation,5388e9de-d167-4dd1-a2b0-ac241b999a64,,Low,https://learn.microsoft.com/azure/aks/certificate-rotation,,,1.0,,,
Operations,Monitoring,Monitor your cluster metrics with Container Insights (or other tools like Prometheus),6f8389a7-f82c-4b8e-a8c0-aa63a25a4956,1.0,High,https://docs.microsoft.com/azure/azure-monitor/insights/container-insights-overview,,,-1.0,,,
Operations,Monitoring,Store and analyze your cluster logs with Container Insights (or other tools like Telegraf/ElasticSearch),eaa8dc4a-2436-47b3-9697-15b1752beee0,1.0,High,https://docs.microsoft.com/azure/azure-monitor/insights/container-insights-overview,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.addonProfiles.omsagent) and properties.addonProfiles.omsagent.enabled==true) | distinct id,compliant",,-1.0,,,
Operations,Alerting,Configure alerts on the most critical metrics (see Container Insights for recommendations),67f7a9ed-5b31-4f38-a3f3-9812b2463cff,1.0,High,https://docs.microsoft.com/azure/azure-monitor/insights/container-insights-metric-alerts,,,-1.0,,,
Operations,Compliance,"Have a regular process to upgrade your kubernetes version periodically (quarterly, for example), or use the AKS autoupgrade feature",e189c599-df0d-45a7-9dd4-ce32c1881370,,High,https://docs.microsoft.com/azure/aks/supported-kubernetes-versions,,,-1.0,1.0,,
Operations,Compliance,Use kured for Linux node upgrades in case you are not using node-image upgrade,6f7c4c0d-4e51-4464-ad24-57ed67138b82,,High,https://docs.microsoft.com/azure/aks/node-updates-kured,,,-1.0,,,
Operations,Compliance,"Have a regular process to upgrade the cluster node images periodically (weekly, for example)",139c9580-ade3-426a-ba09-cf157d9f6477,,High,https://docs.microsoft.com/azure/aks/node-image-upgrade,,,-1.0,1.0,,
Operations,Compliance,Consider gitops to deploy applications or cluster configuration to multiple clusters,0102ce16-ee30-41e6-b882-e52e4621dd68,,Low,https://docs.microsoft.com/azure/architecture/example-scenario/bedrock/bedrock-automated-deployments,,,,,,
Operations,Compliance,Consider using AKS command invoke on private clusters,0102ce16-ee30-41e6-b882-e52e4621dd68,,Low,https://learn.microsoft.com/azure/aks/command-invoke,,,,,,
Operations,Cost,Consider spot node pools for non time-sensitive workloads,c5a5b252-1e44-4a59-a9d2-399c4d7b68d0,,Low,https://docs.microsoft.com/azure/aks/spot-node-pool,,1.0,-1.0,,,
Operations,Cost,Consider AKS virtual node for quick bursting,c755562f-2b4e-4456-9b4d-874a748b662e,,Low,https://docs.microsoft.com/azure/aks/concepts-scale,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.addonProfiles.aciConnectorLinux) and properties.addonProfiles.aciConnectorLinux.enabled==true) | distinct id,compliant",,-1.0,,1.0,
Operations,Compliance,For planned events consider using Node Auto Drain,31d7aaab-7571-4449-ab80-53d89e89d17b,,Low,https://learn.microsoft.com/azure/aks/node-auto-repair#node-autodrain,,,,1.0,,
Operations,Compliance,Develop own governanance practices to make sure no changes are performed by operators in the node RG (aka 'infra RG'),31d7aaab-7571-4449-ab80-53d89e89d17b,,High,https://docs.microsoft.com/azure/aks/faq,,,,1.0,,
Operations,Compliance,Use custom Node RG (aka 'Infra RG') name,73b32a5a-67f7-4a9e-b5b3-1f38c3f39812,,Low,https://docs.microsoft.com/azure/aks/cluster-configuration,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (properties.nodeResourceGroup !startswith 'MC_') | distinct id,compliant",,1.0,,,
Operations,Compliance,Do not use deprecated Kubernetes APIs in your YAML manifests,b2463cff-e189-4c59-adf0-d5a73dd4ce32,1.0,Medium,https://kubernetes.io/docs/setup/release/notes/,,,-1.0,,,
Operations,Compliance,Taint Windows nodes,c1881370-6f7c-44c0-b4e5-14648d2457ed,1.0,Low,https://docs.microsoft.com/azure-stack/aks-hci/adapt-apps-mixed-os-clusters,,,-1.0,,,
Operations,Compliance,Keep windows containers patch level in sync with host patch level,67138b82-0102-4ce1-9ee3-01e6e882e52e,,Low,https://docs.microsoft.com/virtualization/windowscontainers/deploy-containers/version-compatibility?tabs=windows-server-20H2%2Cwindows-10-20H2,,,,,,
Operations,Monitoring,Monitor CPU and memory utilization of the nodes,4621dd68-c5a5-4be2-bdb1-1726769ef669,1.0,Medium,https://docs.microsoft.com/azure/azure-monitor/containers/container-insights-analyze,,,-1.0,,,
Operations,Monitoring,"If using Azure CNI, monitor % of pod IPs consumed per node",1a4835ac-9422-423e-ae80-b123081a5417,1.0,Medium,https://docs.microsoft.com/azure/aks/configure-azure-cni,,,-1.0,,,
Operations,Monitoring,Monitor OS disk queue depth in nodes,415833ea-3ad3-4c2d-b733-165c3acbe04b,1.0,Medium,https://docs.microsoft.com/azure/virtual-machines/premium-storage-performance,,,-1.0,,,"I/O in the OS disk is a critical resource. If the OS in the nodes gets throttled on I/O, this could lead to unpredictable behavior, typically ending up in node being declared NotReady"
Operations,Monitoring,"If not using egress filtering with AzFW/NVA, monitor standard ALB allocated SNAT ports",be209d39-fda4-4777-a424-d116785c2fa5,1.0,Medium,https://docs.microsoft.com/azure/aks/load-balancer-standard,,,-1.0,,,
Operations,Monitoring,Subscribe to resource health notifications for your AKS cluster,74c2ee76-569b-4a79-a57e-dedf91b022c9,1.0,Medium,https://docs.microsoft.com/azure/aks/aks-resource-health,,,,,,
Operations,Compliance,Send master logs (aka API logs) to Azure Monitor or your preferred log management solution,5b56ad48-408f-4e72-934c-476ba280dcf5,1.0,Low,https://docs.microsoft.com/azure/aks/monitor-aks,,-1.0,,,,Via Diagnostic Settings at the cluster level
Operations,Scalability,Use the Cluster Autoscaler,90ce65de-8e13-4f9c-abd4-69266abca264,1.0,Medium,https://docs.microsoft.com/azure/aks/concepts-scale,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.austoscalerProfile)) | distinct id,compliant",-1.0,,,,
Operations,Scalability,Customize node configuration for AKS node pools,90ce65de-8e13-4f9c-abd4-69266abca264,1.0,Low,https://learn.microsoft.com/azure/aks/custom-node-configuration,"where type=='microsoft.containerservice/managedclusters' | extend compliant = (isnotnull(properties.austoscalerProfile)) | distinct id,compliant",-1.0,,,,
Operations,Scalability,Use the Horizontal Pod Autoscaler when required,faa19bfe-9d55-4d04-a3c4-919ca1b2d121,,Medium,https://docs.microsoft.com/azure/aks/concepts-scale,,,-1.0,,1.0,
Operations,Scalability,"Consider an appropriate node size, not too large or too small",5ae124ba-34df-4585-bcdc-e9bd3bb0cdb3,,High,https://blog.cloudtrooper.net/2020/10/23/which-vm-size-should-i-choose-as-aks-node/,,1.0,,,,"Larger nodes will bring higher performance and features such as ephemeral disks and accelerated networking, but they will increase the blast radius and decrease the scaling granularity"
Operations,Scalability,If required for scalability consider adding more than 5000 nodes,5ae124ba-34df-4585-bcdc-e9bd3bb0cdb3,,Low,https://learn.microsoft.com/azure/aks/quotas-skus-regions#service-quotas-and-limits,,1.0,,,,"Larger nodes will bring higher performance and features such as ephemeral disks and accelerated networking, but they will increase the blast radius and decrease the scaling granularity"
Operations,Scalability,Consider subscribing to EventGrid Events for AKS automation,5ae124ba-34df-4585-bcdc-e9bd3bb0cdb3,,Low,https://learn.microsoft.com/azure/event-grid/event-schema-aks,,1.0,,,,"Larger nodes will bring higher performance and features such as ephemeral disks and accelerated networking, but they will increase the blast radius and decrease the scaling granularity"
Operations,Scalability,For long running operation on an AKS cluster consider event termination,5ae124ba-34df-4585-bcdc-e9bd3bb0cdb3,,Low,https://learn.microsoft.com/azure/aks/manage-abort-operations,,1.0,,,,"Larger nodes will bring higher performance and features such as ephemeral disks and accelerated networking, but they will increase the blast radius and decrease the scaling granularity"
